Temperature,Vibration,RPM,Pressure,Runtime,Status
31.2,1.03,1011.45,5.29,119.76,0
83.43,1.82,1479.1,8.52,498.44,2
35.22,1.66,1386.84,8.22,431.66,1
37.65,0.92,1163.08,7.52,570.78,0
51.37,2.96,1405.77,4.66,101.78,2
39.17,0.81,960.68,4.31,285.1,2
40.4,2.7,880.23,6.67,410.4,2
88.94,0.42,1197.86,9.79,865.51,2
79.02,0.85,970.89,7.68,929.38,2
63.41,1.76,1079.98,8.39,187.04,1
49.42,1.33,1307.61,4.7,114.84,1
66.64,0.94,1381.24,4.08,481.14,1
61.96,0.25,1136.6,3.94,63.37,1
89.4,1.03,1609.87,4.78,681.5,2
75.61,1.83,1271.58,5.88,348.87,2
85.77,2.51,1765.03,3.87,730.87,2
86.3,0.63,866.5,8.19,574.47,2
80.51,0.51,1595.27,4.41,163.66,2
39.86,2.46,1465.2,6.66,358.83,2
82.63,1.24,1616.6,6.07,376.94,2
57.76,0.97,1547.61,6.52,232.21,0
83.97,1.21,1343.55,9.35,624.24,2
37.01,2.83,1427.71,5.34,139.27,2
77.64,1.9,1333.46,9.26,788.6,2
39.1,1.0,1048.49,8.21,33.53,0
64.19,2.31,1676.77,5.39,821.26,2
36.64,2.55,927.49,5.78,797.3,2
39.0,0.76,1522.25,8.04,641.15,0
71.64,1.67,1051.8,5.42,181.6,1
84.51,1.79,1200.85,6.23,947.28,2
39.2,1.8,1305.89,7.28,18.11,1
82.33,2.8,1365.13,7.88,922.5,2
72.43,0.54,1376.29,7.25,424.13,1
74.19,2.81,1725.57,6.16,113.24,2
89.09,2.53,924.66,9.45,869.9,2
61.13,1.81,1199.0,3.38,335.2,1
78.17,0.11,1133.5,5.79,537.4,2
85.19,1.1,1146.95,8.16,452.22,2
43.48,1.41,940.86,4.23,498.37,2
55.14,2.75,1162.39,7.06,632.26,2
30.79,2.02,978.04,9.73,148.66,2
54.88,0.35,1796.87,6.52,595.39,0
34.02,2.27,1009.91,9.29,205.14,2
41.44,0.21,1272.07,6.95,65.71,0
76.53,1.41,1324.39,6.09,400.76,2
63.58,0.55,981.93,9.03,946.12,2
52.4,0.89,1444.0,5.86,25.39,0
39.37,2.18,1458.92,3.19,221.97,2
43.86,2.05,819.71,3.73,799.92,2
40.71,1.99,1038.18,3.7,243.17,1
73.34,2.58,1630.22,5.78,668.09,2
42.3,0.95,1696.34,3.09,85.51,0
42.47,0.18,981.44,7.08,421.42,2
83.56,2.47,1141.82,4.82,379.69,2
65.42,0.88,1424.15,5.87,552.05,1
56.17,0.95,1748.45,8.35,140.11,0
82.11,1.51,1694.55,8.6,425.21,2
31.35,0.88,1341.63,7.43,257.89,0
38.36,2.52,1784.4,6.68,171.68,2
46.34,0.15,1714.3,3.82,576.52,0
46.44,1.71,1451.42,8.81,206.42,1
30.66,0.5,1700.02,9.12,597.41,0
66.03,2.03,975.37,9.4,418.77,2
52.99,1.6,846.97,4.16,738.03,2
34.97,1.85,1045.35,5.73,288.69,1
51.34,2.19,1097.12,6.96,476.05,2
69.82,2.82,1532.57,4.5,31.18,2
45.74,1.83,851.43,6.47,596.84,2
50.05,2.34,906.6,3.53,728.19,2
59.73,2.1,1234.83,4.72,819.1,2
77.96,2.11,1072.15,7.13,360.97,2
35.49,2.76,936.82,9.65,446.01,2
41.11,1.67,1672.95,8.13,806.56,1
69.53,2.11,1649.2,4.75,489.42,2
43.27,2.96,1744.06,3.28,705.58,2
85.51,0.62,1367.95,9.41,33.95,2
71.85,0.96,1724.4,9.8,944.27,1
58.45,2.6,1644.55,5.23,828.92,2
32.22,1.83,1030.01,3.84,76.95,1
71.78,1.09,1524.77,3.46,315.29,1
62.37,2.39,1118.75,7.38,885.98,2
66.95,0.78,824.4,9.09,21.27,2
82.48,1.63,1739.07,8.59,997.93,2
51.04,2.32,1201.93,6.36,627.51,2
82.42,2.95,1568.27,5.92,421.36,2
74.25,0.79,910.47,5.48,287.24,2
47.78,0.78,842.09,3.13,987.72,2
55.67,1.21,1479.65,4.53,949.96,1
77.18,0.36,1217.58,9.15,944.73,2
58.04,1.88,967.03,9.94,231.67,2
86.56,1.98,1407.74,6.59,230.67,2
40.59,0.74,986.44,8.46,350.13,2
33.47,2.91,1683.79,9.49,994.91,2
40.43,1.25,1558.24,7.87,153.9,1
78.95,0.75,1023.82,6.76,592.94,2
64.81,0.37,1677.46,4.86,129.51,1
83.32,2.87,1662.13,8.67,655.24,2
63.05,0.35,1208.45,5.61,259.75,1
73.41,1.54,881.05,4.54,683.26,2
34.57,2.57,1295.15,6.36,592.41,2
79.48,1.11,1478.02,6.96,267.03,2
82.72,2.41,1458.45,8.95,867.29,2
72.5,2.53,1497.47,7.76,618.61,2
75.16,0.56,1680.87,9.1,29.25,2
79.55,0.47,1135.12,8.2,160.76,2
79.08,2.51,1307.47,3.04,287.04,2
67.02,2.95,1431.81,4.82,634.01,2
62.4,2.36,906.98,8.33,541.27,2
87.78,1.09,1432.62,9.52,102.51,2
86.23,2.09,867.84,5.11,708.17,2
34.04,1.79,1145.88,7.35,45.74,1
82.29,2.92,1768.88,8.25,130.09,2
75.5,0.17,822.12,5.27,488.64,2
76.22,2.08,1245.9,4.92,997.12,2
55.57,1.41,963.62,8.56,693.68,2
43.25,0.34,1480.5,7.58,273.26,0
87.05,0.54,1232.33,9.61,419.73,2
68.31,1.25,1074.22,9.89,409.33,1
83.65,0.77,1013.1,3.22,651.67,2
52.11,2.61,1273.21,9.78,185.53,2
82.12,2.35,1570.92,8.91,761.02,2
67.57,0.48,832.53,9.45,616.65,2
77.79,1.5,917.31,3.88,685.57,2
55.82,0.68,1291.59,3.45,581.97,0
46.14,2.41,1110.36,6.19,11.62,2
34.35,1.24,1279.94,7.2,291.66,1
71.7,2.59,1579.85,3.28,480.51,2
36.3,0.8,1786.66,4.0,498.89,0
67.09,2.14,1359.65,3.07,326.46,2
61.06,0.35,1150.63,3.23,78.58,1
53.82,0.48,1367.54,7.83,800.59,0
42.01,0.59,904.57,7.46,706.48,2
31.9,2.82,851.97,6.79,709.06,2
82.26,2.17,1601.73,5.38,814.83,2
34.81,2.69,1347.59,8.72,452.32,2
68.61,1.63,1531.59,3.57,60.35,1
44.83,0.56,1671.78,4.53,975.87,0
50.21,0.63,1589.7,7.61,498.2,0
63.32,2.19,1028.45,9.97,974.79,2
69.02,0.68,1480.23,3.51,30.65,1
45.46,1.44,1668.27,8.09,742.71,1
55.53,1.1,1171.04,9.91,40.11,0
82.02,1.78,1238.62,8.08,486.67,2
82.41,2.71,1221.72,4.94,592.35,2
84.74,0.71,1422.97,7.42,733.11,2
37.89,2.18,1709.03,4.26,237.54,2
88.28,0.62,1654.39,6.45,247.23,2
82.24,1.39,1314.82,5.51,592.95,2
39.81,1.23,1769.41,4.81,656.74,1
49.51,2.34,930.87,9.79,453.79,2
44.16,0.31,969.76,6.64,337.0,2
79.73,1.35,1048.71,7.32,706.78,2
40.02,0.59,836.67,8.15,663.8,2
58.48,2.55,1605.67,7.1,868.27,2
42.35,0.42,1069.75,3.4,531.17,0
86.2,0.21,922.11,6.17,933.88,2
48.97,1.57,841.57,4.04,986.63,2
87.91,0.11,1751.81,7.47,867.92,2
57.28,1.6,1288.85,7.67,139.65,1
31.8,0.99,1504.68,4.41,673.43,0
88.19,0.37,1472.6,6.11,868.14,2
40.63,2.11,1638.12,9.61,683.25,2
59.83,1.89,1668.9,6.99,30.39,1
85.86,2.1,1476.51,4.51,658.89,2
53.63,1.99,906.59,7.6,999.41,2
32.89,2.93,1206.91,9.1,782.39,2
64.02,2.24,1678.52,5.83,327.03,2
70.06,2.44,1562.29,8.58,435.58,2
79.07,0.45,1344.49,3.04,324.59,2
51.99,1.25,1495.47,5.72,448.69,1
44.25,1.18,1027.27,3.51,603.45,0
70.09,1.9,1263.49,5.66,863.33,1
61.14,1.49,825.64,5.39,380.2,2
53.93,1.78,1333.6,7.26,764.88,1
78.78,2.18,1755.52,3.13,195.78,2
30.45,1.98,1698.03,4.7,927.03,1
33.62,2.81,1151.62,3.71,485.87,2
45.41,0.93,1107.29,8.62,539.16,0
48.68,1.87,1516.15,4.91,413.55,1
37.31,0.63,1481.12,4.27,525.16,0
72.54,0.41,1367.31,4.8,962.93,1
59.01,2.44,1350.23,3.3,633.15,2
87.08,1.84,1619.19,9.19,228.08,2
42.72,1.87,1211.03,8.88,900.02,1
51.21,0.79,1580.53,4.92,822.61,0
55.42,2.04,895.54,7.37,451.77,2
65.2,0.59,1536.87,9.04,216.74,1
35.74,0.17,1441.97,7.25,546.7,0
43.92,1.23,1394.48,6.48,987.79,1
38.19,2.12,1204.32,6.0,717.6,2
71.55,2.97,928.39,3.73,724.34,2
64.7,0.9,879.42,3.6,894.19,2
41.51,1.04,1026.66,5.48,69.42,0
61.14,0.3,1600.36,4.64,540.01,1
82.8,1.99,1332.96,5.27,333.0,2
70.17,2.98,1461.84,6.9,730.65,2
57.91,0.27,1362.3,9.7,175.3,0
71.4,0.68,1335.83,3.68,450.37,1
75.37,1.11,1464.91,8.57,927.18,2
44.08,1.26,952.42,9.95,927.0,2
62.4,2.54,1320.96,7.37,89.12,2
75.32,0.47,1626.07,8.47,708.74,2
32.17,0.98,1063.11,5.52,87.64,0
86.22,1.71,1105.52,5.78,447.2,2
66.04,1.6,1719.39,6.48,992.16,1
81.09,0.7,1730.6,3.81,817.45,2
52.84,2.65,1668.06,8.64,790.03,2
48.28,0.33,1202.98,4.21,694.95,0
50.77,2.93,1440.97,8.76,132.52,2
81.72,2.78,1287.06,7.24,764.81,2
40.49,1.56,1198.66,4.02,367.53,1
34.09,0.17,935.17,9.74,549.53,2
87.95,1.35,1111.82,6.54,439.51,2
36.34,1.96,1016.04,7.34,650.2,1
39.12,0.28,1580.76,6.22,58.16,0
89.69,0.27,1495.04,9.89,239.18,2
38.53,0.45,1103.28,3.71,692.16,0
33.74,1.58,1796.7,8.7,615.22,1
48.38,1.91,1327.04,5.98,130.71,1
83.2,1.4,994.62,5.57,414.13,2
79.65,2.23,1569.3,3.08,416.15,2
58.88,0.16,1059.81,8.32,137.11,0
62.12,0.72,812.12,4.69,975.87,2
78.09,2.88,1287.85,3.77,547.96,2
57.26,2.55,898.08,6.42,150.05,2
49.48,2.24,1276.02,5.63,394.48,2
57.57,2.38,1692.08,9.69,786.9,2
48.92,2.1,1237.6,4.78,840.87,2
32.31,2.72,1261.48,7.46,659.35,2
83.71,1.95,1413.93,3.47,518.41,2
39.01,2.24,1312.22,7.76,41.67,2
35.09,2.18,872.08,3.5,12.11,2
87.39,2.24,1153.25,5.08,349.7,2
76.48,2.02,985.2,4.22,98.4,2
69.62,2.32,1065.05,3.15,82.17,2
88.07,0.96,1569.22,7.37,381.94,2
42.34,0.45,1415.01,8.42,643.9,0
61.82,0.22,1768.49,8.59,292.82,1
88.8,1.85,1382.42,8.24,811.77,2
69.39,0.47,1138.27,9.5,224.62,1
52.33,1.35,1239.4,7.29,943.08,1
44.44,0.45,997.47,9.21,645.81,2
47.15,2.47,1661.37,8.93,918.93,2
45.13,2.29,1260.54,8.89,728.49,2
76.59,2.0,977.43,6.82,984.67,2
86.24,0.23,964.81,3.92,725.98,2
79.07,0.72,1305.85,8.88,732.8,2
62.53,1.81,1308.36,5.08,565.02,1
71.33,2.63,1436.29,8.33,160.07,2
57.69,0.13,1046.68,8.09,991.81,0
35.95,1.26,1600.07,4.43,555.08,1
73.98,1.89,988.02,5.49,783.79,2
63.25,0.12,1560.99,3.25,745.73,1
42.15,2.88,1167.94,5.29,148.89,2
48.34,2.64,1796.33,5.58,448.61,2
73.32,2.67,1393.04,5.74,412.62,2
71.74,0.11,1419.59,5.49,794.2,1
35.58,1.81,1280.97,7.5,64.85,1
64.8,1.73,1360.66,7.22,676.47,1
78.3,0.88,1625.05,6.49,77.06,2
33.51,1.07,1584.9,7.95,788.61,0
61.04,1.38,947.45,5.3,434.02,2
35.32,0.74,1398.23,8.15,998.35,0
85.99,1.96,1221.25,7.45,785.65,2
37.1,1.29,1639.8,5.69,571.87,1
65.27,0.63,1162.24,5.34,26.2,1
31.45,2.51,1073.07,6.63,298.73,2
86.44,0.85,1229.66,9.11,841.93,2
41.17,2.43,1258.19,6.38,133.48,2
34.84,2.21,1296.46,6.06,729.51,2
75.93,0.56,1410.23,3.95,751.38,2
69.42,2.87,868.96,3.4,282.19,2
45.7,0.82,1706.25,4.75,271.95,0
75.56,1.4,1576.71,3.46,487.57,2
32.02,0.28,1706.44,3.97,532.42,0
54.67,1.11,1699.83,3.15,663.79,0
87.8,1.72,1736.82,3.37,418.79,2
45.61,2.22,1781.3,4.8,654.17,2
41.89,1.74,1263.93,9.8,608.53,1
50.97,0.43,951.25,4.58,250.97,2
81.04,1.73,1323.39,3.8,860.14,2
73.37,0.3,1507.84,6.8,81.73,1
57.5,1.51,965.77,9.62,849.98,2
70.14,1.44,1211.77,7.56,545.43,1
33.74,1.59,1606.4,6.21,51.96,1
77.18,0.68,1058.62,4.15,330.22,2
75.41,1.61,1004.88,9.14,879.58,2
82.23,0.79,1251.24,9.89,772.01,2
31.63,0.29,1263.93,9.36,538.7,0
59.87,0.41,1456.78,8.75,380.42,0
76.54,2.9,1003.77,6.66,287.14,2
77.57,1.78,1434.58,8.59,395.97,2
84.91,1.65,957.95,7.87,793.26,2
49.01,2.59,1706.14,4.94,983.52,2
38.44,0.69,984.22,9.26,654.29,2
39.13,1.38,1415.3,3.58,882.42,1
78.22,1.57,1767.13,5.92,984.11,2
70.08,1.94,965.95,9.17,427.49,2
39.73,0.14,1359.76,6.69,719.35,0
83.42,0.33,1531.5,4.31,858.18,2
79.14,1.67,1510.24,5.2,471.17,2
79.3,1.43,1157.8,6.46,828.25,2
50.11,0.6,1512.01,8.78,100.64,0
44.39,0.51,1147.94,6.15,748.83,0
69.07,1.9,1152.37,8.89,471.29,1
88.75,1.94,926.26,7.73,325.1,2
71.18,0.3,974.88,8.99,227.18,2
80.22,0.91,1442.88,7.86,512.65,2
48.32,0.72,833.19,5.13,653.16,2
86.3,2.63,1566.06,8.52,664.98,2
45.62,2.73,1470.73,6.92,110.99,2
56.82,1.44,1664.56,6.83,380.4,1
88.61,0.42,1222.55,3.29,739.9,2
85.08,0.91,1658.34,5.05,910.77,2
75.24,2.43,818.01,9.74,726.67,2
48.29,2.51,1081.52,9.11,112.58,2
72.22,1.67,896.53,4.69,12.4,2
58.13,0.97,1398.36,5.08,299.92,0
74.59,0.24,1702.89,8.97,667.8,1
65.59,2.69,985.33,3.55,239.51,2
77.67,0.2,1382.81,9.97,855.7,2
61.29,0.28,1631.37,7.19,114.93,1
35.63,2.74,1469.2,8.81,878.98,2
64.31,1.6,1230.43,5.22,434.6,1
76.43,1.85,1692.52,6.1,607.09,2
67.88,1.82,1502.63,4.66,512.36,1
36.25,1.22,1287.67,7.57,950.53,1
66.04,2.26,1306.27,7.44,70.93,2
45.26,1.15,1272.49,3.32,140.02,0
46.61,2.92,1131.35,6.37,196.1,2
66.65,0.91,1006.99,6.62,5.51,1
30.46,0.74,836.72,3.76,338.86,2
78.16,1.76,1312.67,5.05,931.75,2
53.82,0.35,1417.07,3.8,345.22,0
60.44,2.64,1293.55,7.92,992.82,2
37.89,0.9,1194.58,5.95,411.02,0
84.46,2.17,1407.91,5.17,823.79,2
87.3,2.48,801.57,7.45,51.14,2
45.46,0.27,1403.8,7.81,114.49,0
53.03,1.42,1169.05,3.85,418.95,1
75.07,0.31,880.18,5.48,941.73,2
70.11,2.07,1161.92,7.16,10.13,2
68.17,2.75,1412.57,9.12,723.97,2
37.23,2.72,866.44,6.74,142.14,2
30.7,1.32,1095.04,6.4,577.2,1
32.62,0.46,1358.64,5.4,729.17,0
69.14,2.55,1492.49,6.01,672.97,2
46.52,0.99,1588.99,6.12,798.38,0
79.35,2.59,1716.64,6.02,318.87,2
64.93,1.18,1401.07,7.94,688.41,1
52.47,0.58,1230.53,4.0,890.1,0
50.75,0.55,825.45,7.52,636.9,2
50.44,0.31,1209.63,5.18,677.12,0
66.35,1.16,1017.89,9.92,454.0,1
71.3,0.51,1285.59,3.19,505.46,1
87.84,1.21,839.0,3.22,387.99,2
39.6,0.17,1556.21,6.21,289.24,0
84.0,0.44,1755.92,5.2,888.4,2
66.18,2.5,1784.01,5.02,961.14,2
53.37,1.22,1140.39,6.79,154.15,1
63.22,1.67,1561.9,8.84,440.44,1
48.14,0.85,994.62,3.4,342.45,2
46.21,2.9,1357.71,5.43,580.47,2
38.35,1.39,1426.23,6.42,401.78,1
89.63,2.65,1423.41,6.99,620.66,2
42.08,1.25,839.46,6.33,543.02,2
43.66,2.9,1709.45,8.06,533.39,2
82.2,0.48,1590.51,3.87,794.21,2
46.55,2.64,1744.04,4.04,462.68,2
88.86,1.5,1663.55,7.12,375.33,2
47.15,0.69,1561.8,5.71,511.28,0
59.54,1.77,1665.58,9.87,407.58,1
79.65,2.32,1373.53,9.69,200.47,2
36.56,2.58,1239.15,8.93,893.09,2
33.75,2.66,1248.32,6.57,626.59,2
85.58,0.16,1276.84,7.81,722.71,2
71.55,0.49,1099.4,5.51,804.44,1
46.73,0.71,1757.45,3.06,997.82,0
70.61,2.5,1094.62,3.1,737.87,2
80.05,2.25,942.85,8.27,768.92,2
69.51,2.32,1645.92,7.3,88.6,2
59.26,0.33,1207.54,5.85,66.01,0
50.93,0.42,1608.24,9.63,72.32,0
87.31,1.62,1099.57,3.54,500.62,2
77.67,2.15,850.23,3.51,402.87,2
47.72,0.77,1081.0,8.62,929.23,0
54.31,2.73,1121.5,6.34,226.03,2
68.43,2.94,1403.49,5.5,647.82,2
37.38,2.68,1303.08,6.15,585.86,2
67.49,0.31,1482.62,4.69,713.95,1
79.35,2.43,1352.5,6.64,142.88,2
76.52,0.89,1296.7,4.99,133.83,2
67.77,0.26,1548.65,5.22,0.13,1
60.67,0.24,1076.17,7.95,62.69,1
80.36,0.11,1046.82,8.19,316.27,2
36.11,1.14,1070.39,8.9,313.35,0
77.34,2.69,1233.82,9.37,377.32,2
87.84,0.36,1487.02,6.46,387.65,2
67.96,2.14,804.36,4.17,713.05,2
69.98,2.9,1561.04,9.66,702.54,2
47.88,0.41,1581.82,7.51,48.19,0
51.6,2.87,1300.4,6.03,457.7,2
42.53,1.17,1169.81,3.37,767.57,0
54.99,2.48,1650.35,4.48,657.35,2
58.34,2.65,1015.74,7.74,607.75,2
47.72,0.5,1451.64,8.17,315.63,0
68.69,1.25,1513.21,4.39,890.22,1
47.24,1.17,858.09,3.78,515.86,2
46.06,2.52,814.69,5.65,337.35,2
31.16,0.46,1213.64,6.45,404.29,0
61.86,1.83,809.92,6.25,963.5,2
61.14,2.06,1111.86,8.42,772.92,2
61.28,2.93,925.55,3.12,770.16,2
78.43,0.45,1065.58,3.12,293.31,2
76.39,1.6,1148.1,5.6,1.35,2
47.99,1.97,1774.19,8.93,23.59,1
83.91,2.37,1580.38,6.21,398.01,2
48.17,0.29,1028.24,4.73,484.08,0
74.85,1.47,857.84,9.7,942.72,2
77.11,2.97,1344.48,9.74,75.61,2
51.94,0.75,995.83,3.99,622.41,2
76.88,1.78,946.96,8.68,635.95,2
53.29,2.05,1059.9,5.42,917.49,2
47.43,1.46,1690.14,7.95,62.2,1
38.84,0.12,1430.92,6.13,134.27,0
87.48,1.64,1041.89,6.5,679.62,2
34.57,0.9,1606.97,6.22,546.58,0
55.97,0.23,965.75,6.12,209.19,2
33.0,2.55,1781.19,8.55,853.78,2
44.52,2.89,996.93,9.66,994.82,2
72.7,2.95,1369.54,4.82,437.0,2
65.61,0.31,1422.34,9.87,190.11,1
77.56,2.73,1743.7,9.72,521.46,2
88.64,2.3,961.67,6.34,718.33,2
44.84,1.96,1466.6,4.14,565.09,1
76.3,1.55,812.1,3.06,357.03,2
85.57,0.76,1434.36,4.55,321.67,2
80.88,2.21,895.4,6.0,29.17,2
58.85,2.02,918.5,5.02,397.84,2
85.17,2.98,844.91,8.33,371.72,2
53.55,2.29,1718.43,9.66,577.12,2
51.43,2.38,1051.0,6.95,358.58,2
69.4,0.8,991.59,9.43,101.8,2
60.36,0.74,838.93,3.25,175.22,2
82.01,0.92,1750.46,7.07,436.61,2
64.81,1.6,1558.78,4.98,353.05,1
83.65,2.84,1692.56,5.94,780.37,2
58.58,1.54,1004.68,7.14,186.14,1
49.89,2.58,1007.08,3.5,69.01,2
86.45,1.57,1209.41,8.68,835.83,2
49.93,2.11,1571.12,7.58,151.6,2
82.55,1.66,1082.47,5.98,37.57,2
37.67,2.32,800.01,5.92,522.51,2
33.28,2.92,1026.13,5.13,303.94,2
43.82,0.1,1529.34,9.77,224.29,0
69.78,2.25,1648.43,5.96,302.93,2
49.52,2.17,1616.78,4.27,370.94,2
84.12,2.44,1784.86,8.28,393.2,2
65.44,2.02,878.46,6.81,709.32,2
40.04,2.36,1383.77,9.67,42.42,2
45.92,1.84,1096.56,8.0,759.01,1
36.15,1.59,1308.89,5.58,932.92,1
79.65,2.12,1514.33,6.23,920.99,2
71.68,2.21,1661.69,4.92,807.07,2
41.71,1.1,1135.61,9.85,856.54,0
72.07,2.21,1362.07,9.63,496.26,2
52.83,0.57,1586.21,8.14,384.36,0
31.51,2.53,811.42,7.93,970.26,2
56.26,0.78,1504.87,8.72,546.43,0
88.02,0.25,1304.8,8.03,862.64,2
40.76,2.42,1352.71,5.78,131.72,2
81.92,0.56,1109.79,5.03,871.41,2
70.36,2.41,1050.47,7.37,571.75,2
79.97,2.73,812.16,7.72,51.84,2
62.93,0.93,1106.78,5.47,621.29,1
50.04,2.22,1204.53,3.48,783.76,2
47.15,1.36,1485.44,5.33,56.59,1
52.44,2.84,1441.73,7.7,632.28,2
41.94,1.31,1550.94,3.71,277.85,1
46.58,1.35,1780.37,3.47,518.7,1
40.76,2.91,913.3,5.83,737.88,2
72.27,1.33,1146.52,5.78,264.28,1
42.32,1.5,1068.53,5.01,656.76,1
